strap,landUnitValue,landUnitType,landClass,landClassDscr,GIS_sqft,GIS_acreage,status_cd
R0000315,10912.0,SF,1112.0,SINGLE FAM.RES.-LAND,10912,0.251,A 
R0000318,9969.0,SF,1112.0,SINGLE FAM.RES.-LAND,9969,0.229,A 
R0000320,6985.0,SF,1112.0,SINGLE FAM.RES.-LAND,6985,0.16,A 
R0000321,7360.0,SF,1112.0,SINGLE FAM.RES.-LAND,7360,0.169,A 
R0000324,15506.0,SF,1112.0,SINGLE FAM.RES.-LAND,15506,0.356,A 
R0000327,7195.0,SF,1112.0,SINGLE FAM.RES.-LAND,7195,0.165,A 
R0000328,6430.0,SF,1112.0,SINGLE FAM.RES.-LAND,6430,0.148,A 
R0000334,4454.0,SF,1112.0,SINGLE FAM.RES.-LAND,4454,0.102,A 
R0000340,5170.0,SF,1112.0,SINGLE FAM.RES.-LAND,5170,0.119,A 
R0000341,7984.0,SF,1112.0,SINGLE FAM.RES.-LAND,7984,0.183,A 
R0000342,9060.0,SF,1112.0,SINGLE FAM.RES.-LAND,9060,0.208,A 
R0000344,7057.0,SF,1112.0,SINGLE FAM.RES.-LAND,7057,0.162,A 
R0000345,5676.0,SF,1112.0,SINGLE FAM.RES.-LAND,5676,0.13,A 
R0000347,8304.0,SF,1112.0,SINGLE FAM.RES.-LAND,8304,0.191,A 
R0000349,8119.0,SF,1112.0,SINGLE FAM.RES.-LAND,8119,0.186,A 
R0000350,7750.0,SF,1112.0,SINGLE FAM.RES.-LAND,7750,0.178,A 
R0000352,7162.0,SF,1112.0,SINGLE FAM.RES.-LAND,7162,0.164,A 
R0000358,17585.0,SF,1112.0,SINGLE FAM.RES.-LAND,17585,0.404,A 
R0000360,5509.0,SF,1112.0,SINGLE FAM.RES.-LAND,5509,0.126,A 
R0000364,39944.0,SF,1112.0,SINGLE FAM.RES.-LAND,39944,0.917,A 
R0000366,7249.0,SF,1112.0,SINGLE FAM.RES.-LAND,7249,0.166,A 
R0000367,5876.0,SF,1112.0,SINGLE FAM.RES.-LAND,5876,0.135,A 
R0000369,6164.0,SF,1112.0,SINGLE FAM.RES.-LAND,6164,0.142,A 
R0000375,8743.0,SF,1112.0,SINGLE FAM.RES.-LAND,8743,0.201,A 
R0000376,7417.0,SF,1112.0,SINGLE FAM.RES.-LAND,7417,0.17,A 
R0000377,11823.0,SF,1112.0,SINGLE FAM.RES.-LAND,11823,0.271,A 
R0000382,9454.0,SF,1112.0,SINGLE FAM.RES.-LAND,9454,0.217,A 
