strap,tax_yr,bldAcutalVal,LandAcutalVal,xfActualVal,totalActualVal,landAssessedVal,bldAssessedVal,xfAssessedVal,totalAssessedVal,status_cd
R0000345,2021,142900,677500,,820400,48441.0,10217.0,,58658,A 
R0000347,2021,484000,903400,,1387400,64593.0,34606.0,,99199,A 
R0000349,2021,195300,844300,,1039600,60367.0,13964.0,,74331,A 
R0000350,2021,145100,657000,,802100,46976.0,10375.0,,57351,A 
R0000352,2021,105050,945450,,1050500,67600.0,7511.0,,75111,A 
R0000358,2021,2512400,1989000,,4501400,142214.0,179637.0,,321851,A 
R0000360,2021,514500,763800,,1278300,54612.0,36787.0,,91399,A 
R0000364,2021,214200,963700,,1177900,68905.0,15315.0,,84220,A 
R0000366,2021,272800,712700,,985500,50958.0,19505.0,,70463,A 
R0000367,2021,220200,487800,,708000,34878.0,15744.0,,50622,A 
R0000369,2021,111000,657200,,768200,46990.0,7937.0,,54927,A 
R0000375,2021,283900,381200,,665100,27256.0,20299.0,,47555,A 
R0000376,2021,607500,720900,,1328400,51544.0,43436.0,,94980,A 
R0000377,2021,226930,1119000,,1345930,80009.0,16226.0,,96235,A 
R0000382,2021,491800,1207600,,1699400,86343.0,35164.0,,121507,A 
R0000383,2021,590800,438100,,1028900,31324.0,42242.0,,73566,A 
R0000384,2021,89180,802620,,891800,57387.0,6376.0,,63763,A 
R0000390,2021,1071200,928000,,1999200,66352.0,76591.0,,142943,A 
R0000392,2021,102430,898200,,1000630,64221.0,7324.0,,71545,A 
R0000395,2021,460000,666300,,1126300,47640.0,32890.0,,80530,A 
R0000398,2021,828480,1075600,,1904080,76905.0,59236.0,,136141,A 
R0000404,2021,1353300,811500,,2164800,58022.0,96761.0,,154783,A 
R0000406,2021,469600,721600,,1191200,51594.0,33576.0,,85170,A 
R0000407,2021,204800,721700,,926500,51602.0,14643.0,,66245,A 
R0000408,2021,115000,591000,,706000,42257.0,8223.0,,50480,A 
R0000410,2021,882200,771100,,1653300,55134.0,63077.0,,118211,A 
R0000413,2021,266600,706900,,973500,50543.0,19062.0,,69605,A 
R0000414,2021,151800,675900,,827700,48327.0,10854.0,,59181,A 
R0000415,2021,279500,856200,,1135700,61218.0,19984.0,,81202,A 
R0000420,2021,461900,347800,,809700,24868.0,33026.0,,57894,A 
R0000425,2021,309900,370000,,679900,26455.0,22158.0,,48613,A 
R0000427,2021,117000,721300,,838300,51573.0,8366.0,,59939,A 
R0000428,2021,799200,697700,,1496900,49886.0,57143.0,,107029,A 
R0000431,2021,70360,633240,,703600,45277.0,5031.0,,50308,A 
R0000433,2021,159400,873000,,1032400,62420.0,11397.0,,73817,A 
R0000435,2021,216700,460700,,677400,32940.0,15494.0,,48434,A 
R0000436,2021,272100,1009400,,1281500,72172.0,19455.0,,91627,A 
R0000443,2021,675700,976700,,1652400,69834.0,48313.0,,118147,A 
R0000444,2021,479600,775600,,1255200,55455.0,34291.0,,89746,A 
R0000445,2021,2337300,1460200,,3797500,104404.0,167117.0,,271521,A 
R0000446,2021,107200,964800,,1072000,68983.0,7665.0,,76648,A 
R0000448,2021,3980,358200,,362180,25611.0,285.0,,25896,A 
R0000451,2021,795600,666700,,1462300,47669.0,56885.0,,104554,A 
R0000454,2021,183600,557400,,741000,39854.0,13127.0,,52981,A 
R0000455,2021,72370,651330,,723700,46570.0,5174.0,,51744,A 
R0000456,2021,109800,659500,,769300,47154.0,7851.0,,55005,A 
R0000457,2021,1002600,963000,,1965600,68855.0,71686.0,,140541,A 
R0000458,2021,71610,644490,,716100,46081.0,5120.0,,51201,A 
R0000459,2021,1208300,2144300,,3352600,153317.0,86393.0,,239710,A 
R0000462,2021,219300,603500,,822800,43150.0,15680.0,,58830,A 
R0000464,2021,960100,2041400,,3001500,145960.0,68647.0,,214607,A 
R0000467,2021,848100,1064000,,1912100,76076.0,60639.0,,136715,A 
R0000470,2021,192500,1162400,,1354900,83112.0,13764.0,,96876,A 
R0000471,2021,75390,678510,,753900,48513.0,5390.0,,53903,A 
