"pff_PLAYID","GameKey","pff_QUARTER","pff_CLOCK","pff_DEFTEAM","pff_DEFSCORE","pff_OFFTEAM","pff_OFFSCORE","pff_DRIVE","pff_DRIVEPLAY","pff_GAINLOSSNET","pff_GAINLOSS","pff_KICKYARDS","pff_NOHUDDLE","pff_NOPLAY","pff_PENALTYYARDS","pff_PREVIOUSPFFPLAYID","pff_RETURNYARDS","pff_SORTORDER","pff_TIMETOPRESSURE","pff_TIMETOTHROW","pff_YARDSAFTERCATCH","pff_YARDSAFTERCONTACT","pff_2MINUTE","pff_BALLCARRIER","pff_BUNCHED","pff_DRIVEENDEVENT","pff_DRIVESTARTEVENT","pff_DROPBACKTYPE","pff_HASH","pff_INCOMPLETIONTYPE","pff_INJURED","pff_KICKDEPTH","pff_KICKER","pff_KICKRESULT","pff_KICKWIDTH","pff_MOFOCPLAYED","pff_MOFOCSHOWN","pff_PASSRESULT","pff_PASSROUTETARGETGROUP","pff_PASSWIDTH","pff_PASSDEPTH","pff_POAACTUAL","pff_POAINTENDED","pff_RBDIRECTION","pff_RETURNER","pff_RUNPASS","pff_SPECIALTEAMSTYPE","pff_TOUCHDOWN","pff_PLAYCLOCK","pff_RUNPASSOPTION","pff_CONTESTED","pff_FIRSTDOWNGAINED","pff_NEXTPLAYID","pff_OFFTIMEOUTSREMAINING","pff_DEFTIMEOUTSREMAINING","JetPers","AsFormation","QBPos","PFFRunType","PFFPlayType","Neutral","Possession","RedZone","NumDB","Rushers","CovNumber","ManZone","CovHigh","CovBlitz","CovHighBlitz","DefPers","Perspective","WP","WP_Punt","WP_FG","WP_Go","EPPT","EP","Down","YardsToGo","AbsoluteYardLine","PlayDescription"
4950432,59072,1,"15:00","DAL",0,"PHI",0,NA,NA,40,73,73,0,0,NA,NA,NA,1,NA,NA,NA,NA,0,"","","","","","C","","","72","DAL 19","TOUCHBACK","8","","","","","","","","","","PHI 35","","KICKOFF","",NA,0,"",NA,4950440,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.633,0.635,0.58,0.675,"Kickoff",1.02787229920246,0,0,65,"B.Maher kicks 65 yards from DAL 35 to end zone, Touchback."
4950440,59072,1,"15:00","DAL",0,"PHI",0,1,1,7,7,NA,0,0,NA,4950432,NA,2,NA,NA,NA,2,0,"PHI 26","","FIELD GOAL","KICKOFF - TB","","R","","","","","","","C","C","","","","","RE","RE","L","","R","","",7,0,"",NA,4950448,3,3,"11","11","Shotgun","INSIDE ZONE READ","INSIDE ZONE READ",1,0,0,5,NA,"3","Zone",1,"Zone","1 Zone","3 3 5","DAL",0.633,0.669,0.728,0.689,"R",0.977105090910883,1,10,75,"(15:00) (Shotgun) M.Sanders right tackle to PHI 32 for 7 yards (D.Wilson)."
4950448,59072,1,"14:24","DAL",0,"PHI",0,1,2,9,9,NA,0,0,NA,4950440,NA,3,NA,1.9,1,1,0,"PHI 11","","FIELD GOAL","KICKOFF - TB","SD","R","","","","","","","C","C","COMPLETE","2R","20","8","","","","","P","","",11,1,"1; DAL 07",1,4950455,3,3,"11","11","Shotgun","INSIDE ZONE","INSIDE ZONE RPO",1,0,0,5,"4 Sim","1","Man",1,"Man Simulated","Man Simulated","3 3 5","DAL",0.62,0.662,0.72,0.663,"P",1.49379055022634,2,3,68,"(14:24) (Shotgun) G.Minshew pass short left to A.Brown to PHI 41 for 9 yards (T.Diggs)."
4950455,59072,1,"13:56","DAL",0,"PHI",0,1,3,48,48,NA,1,0,NA,4950448,NA,4,NA,2.3,21,0,0,"PHI 11","","FIELD GOAL","KICKOFF - TB","SD","C","","","","","","","C","C","COMPLETE","29R","48","27","","","","","P","","",20,1,"",1,4950459,3,3,"11","11","Shotgun","INSIDE ZONE","INSIDE ZONE RPO",1,0,0,5,"4 Sim","1","Man",1,"Man Simulated","Man Simulated","3 3 5","DAL",0.614,0.654,0.71,0.669,"P",2.16331911710702,1,10,59,"(13:58) (No Huddle, Shotgun) G.Minshew pass deep right to A.Brown to DAL 11 for 48 yards (J.Kearse)."
4950459,59072,1,"13:18","DAL",0,"PHI",0,1,4,1,1,NA,0,0,NA,4950455,NA,5,NA,NA,NA,1,0,"PHI 26","PHI 03; PHI 06; PHI 88","FIELD GOAL","KICKOFF - TB","","R","","","","","","","C","C","","","","","MR","MR","R","","R","","",12,1,"",NA,4950465,3,3,"11","10","Shotgun","OUTSIDE ZONE READ","OUTSIDE ZONE READ RPO",0,0,1,5,NA,"1","Man",1,"Man","Man","3 3 5","DAL",0.556,1,0.59,0.609,"R",5.2026862648851,1,10,11,"(13:18) (Shotgun) M.Sanders right tackle to DAL 10 for 1 yard (O.Odighizuwa; C.Watkins)."
4950465,59072,1,"12:38","DAL",0,"PHI",0,1,5,0,0,NA,0,0,NA,4950459,NA,6,NA,NA,NA,1,0,"PHI 26","","FIELD GOAL","KICKOFF - TB","","R","","","","","","","O","O","","","","","LG","LG","L","","R","","",6,1,"",NA,4950472,3,3,"11","11","Shotgun","INSIDE ZONE READ","INSIDE ZONE READ RPO",0,0,1,5,NA,"0","Man",0,"Zero","Zero","3 3 5","DAL",0.569,1,0.588,0.604,"R",4.82121442519957,2,9,10,"(12:38) (Shotgun) M.Sanders left guard to DAL 10 for no gain (D.Wilson, A.Barr)."
4950472,59072,1,"11:56","DAL",0,"PHI",0,1,6,3,3,NA,0,0,NA,4950465,NA,7,2,4.3,NA,1,0,"PHI 10","PHI 06; PHI 16; PHI 88","FIELD GOAL","KICKOFF - TB","SR","L","","","","","","","O","O","RUN","","","0","QB SCRAMBLE","QB SCRAMBLE","","","P","","",4,0,"",NA,4950476,3,3,"11","10","Shotgun","","STANDARD DROP",0,0,1,5,"4 Sim","1","Man",1,"Man Simulated","Man Simulated","3 3 5","DAL",0.589,1,0.587,0.602,"P",4.01889602846158,3,9,10,"(11:56) (Shotgun) G.Minshew scrambles right end pushed ob at DAL 7 for 3 yards (M.Parsons; N.Wright)."
4950476,59072,1,"11:18","DAL",0,"PHI",0,NA,NA,0,25,25,0,0,NA,4950472,NA,8,NA,NA,NA,NA,0,"","","","","","R","","","","PHI 04","MADE - M","","","","","","","","","","","","","FIELD GOAL","",5,0,"",NA,4950506,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.585,1,0.585,0.588,"Field Goal",2.76978444571502,4,6,7,"(11:18) J.Elliott 25 yard field goal is GOOD, Center-R.Lovato, Holder-B.Kern."
4950506,59072,1,"11:16","PHI",3,"DAL",0,NA,NA,40,75,75,0,0,NA,4950476,NA,9,NA,NA,NA,NA,0,"","","","","","C","","","74","PHI 04","TOUCHBACK","33","","","","","","","","","","DAL 09","","KICKOFF","",NA,0,"",NA,4950563,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.584,0.581,0.653,0.529,"Kickoff",1.02787229920246,0,0,65,"J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback."
4950563,59072,1,"11:16","PHI",3,"DAL",0,1,1,1,1,NA,0,0,NA,4950506,NA,10,NA,NA,NA,2,0,"DAL 21","DAL 85; DAL 88","INTERCEPTION-TD","KICKOFF - TB","","L","","","","","","","C","O","","","","","MR","MR","L","","R","","",13,1,"",NA,4950568,3,3,"11","11","Shotgun","INSIDE ZONE READ","INSIDE ZONE READ RPO",1,0,0,5,NA,"3","Zone",1,"Zone","1 Zone","5 1 5","DAL",0.584,0.532,0.474,0.521,"R",0.977105090910883,1,10,75,"(11:16) (Shotgun) E.Elliott up the middle to DAL 26 for 1 yard (R.Blankenship; L.Joseph)."
4950568,59072,1,"10:48","PHI",3,"DAL",0,1,2,4,4,NA,0,0,NA,4950563,NA,11,NA,NA,NA,2,0,"DAL 21","","INTERCEPTION-TD","KICKOFF - TB","","L","","","","","","","O","C","","","","","MR","MR","R","","R","","",17,0,"",NA,4950573,3,3,"11","11","UC","DUO","DUO",1,0,0,5,NA,"2Z","Zone",2,"Zone","2 Zone","5 1 5","DAL",0.569,0.531,0.474,0.523,"R",0.585772929885764,2,9,74,"(10:48) E.Elliott up the middle to DAL 30 for 4 yards (F.Cox)."
4950573,59072,1,"10:25","PHI",3,"DAL",0,1,3,6,6,NA,1,0,NA,4950568,NA,12,NA,1.7,5,2,0,"DAL 21","DAL 85; DAL 86; DAL 88","INTERCEPTION-TD","KICKOFF - TB","SD","L","","","","","","","C","O","COMPLETE","H3","8","1","","","","","P","","",NA,0,"",1,4950579,3,3,"11","10","Shotgun","","QUICK GAME",0,1,0,5,"5+","3","Zone",1,"Zone Pressure","1 Zone Pressure","5 1 5","DAL",0.564,0.534,0.477,0.537,"P",0.317337201817463,3,5,70,"(10:25) (No Huddle, Shotgun) D.Prescott pass short left to E.Elliott to DAL 36 for 6 yards (R.Blankenship)."
4950579,59072,1,"09:57","PHI",3,"DAL",0,1,4,11,11,NA,0,0,NA,4950573,NA,13,2.3,4.5,3,0,0,"DAL 20","","INTERCEPTION-TD","KICKOFF - TB","SR","L","","","","","","","O","O","COMPLETE","SA","49","8","","","","","P","","",19,0,"",1,4950585,3,3,"11","00","Empty","","STANDARD DROP",1,0,0,5,"4","6","Zone",2,"Zone","2 Zone","5 1 5","DAL",0.599,0.538,0.483,0.532,"P",2.04296538552061,1,10,64,"(9:58) (Shotgun) D.Prescott pass short right to T.Pollard pushed ob at DAL 47 for 11 yards (T.Edwards)."
4950585,59072,1,"09:28","PHI",3,"DAL",0,1,5,0,NA,NA,0,0,NA,4950579,NA,14,NA,2.7,NA,NA,0,"","DAL 85; DAL 88","INTERCEPTION-TD","KICKOFF - TB","RL","R","BP","","","","","","C","C","INTERCEPTION","1R","16","3","","","","","P","","PHI 94",15,0,"",NA,4950625,3,3,"11","11","UC","OUTSIDE ZONE","MOVING POCKET",1,0,0,5,"5+","3","Zone",1,"Zone Pressure","1 Zone Pressure","5 1 5","DAL",0.615,0.545,0.494,0.544,"P",2.59523705648233,1,10,53,"(9:28) D.Prescott pass short left intended for D.Schultz INTERCEPTED by J.Sweat at DAL 42. J.Sweat for 42 yards, TOUCHDOWN."
4950625,59072,1,"09:18","DAL",0,"PHI",9,NA,NA,0,NA,NA,0,0,NA,4950585,NA,15,NA,NA,NA,NA,0,"","","","","","C","","","","PHI 04","MADE - M","","","","","","","","","","","","","EXTRA POINT","",NA,0,"",NA,4950629,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.41638,1,0.363,0.329,"Extra Point",0.936890574214518,0,0,15,"J.Elliott extra point is GOOD, Center-R.Lovato, Holder-B.Kern."
4950629,59072,1,"09:18","PHI",10,"DAL",0,NA,NA,40,75,75,0,0,NA,4950625,NA,16,NA,NA,NA,NA,0,"","","","","","C","","","74","PHI 04","TOUCHBACK","33","","","","","","","","","","DAL 09","","KICKOFF","",NA,0,"",NA,4950639,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.415,0.411,0.501,0.351,"Kickoff",1.02787229920246,0,0,65,"J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback."
4950639,59072,1,"09:18","PHI",10,"DAL",0,2,1,0,0,NA,0,0,NA,4950629,NA,17,NA,NA,NA,4,0,"DAL 21","","TOUCHDOWN","KICKOFF - TB","","L","","","","","","","C","C","","","","","LG","LG","R","","R","","",8,0,"",NA,4950646,3,3,"13","13","UC","OUTSIDE ZONE","OUTSIDE ZONE",1,0,0,4,NA,"3","Zone",1,"Zone Pressure","1 Zone Pressure","5 2 4","DAL",0.415,0.35,0.31,0.355,"R",0.977105090910883,1,10,75,"(9:18) E.Elliott up the middle to DAL 25 for no gain (M.Williams)."
4950646,59072,1,"08:45","PHI",10,"DAL",0,2,2,5,5,NA,0,0,NA,4950639,NA,18,NA,2.2,0,0,0,"DAL 88","","TOUCHDOWN","KICKOFF - TB","SD","C","","","","","","","O","O","COMPLETE","3R","47","5","","","","","P","","",11,0,"",NA,4950654,3,3,"11","00","Empty","","STANDARD DROP",1,0,0,5,"4","4","Zone",2,"Zone","2 Zone","4 2 5","DAL",0.395,0.348,0.307,0.352,"P",0.341155994300981,2,10,75,"(8:45) (Shotgun) D.Prescott pass short right to C.Lamb to DAL 30 for 5 yards (A.Maddox)."
4950654,59072,1,"08:18","PHI",10,"DAL",0,2,3,13,13,NA,1,0,NA,4950646,NA,19,2.6,4.3,NA,0,0,"DAL 04","DAL 85; DAL 86; DAL 88","TOUCHDOWN","KICKOFF - TB","SR","R","","","","","","","O","O","RUN","","","0","QB SCRAMBLE","QB SCRAMBLE","","","P","","",25,0,"",1,4950661,3,3,"11","01","Empty","","STANDARD DROP",0,1,0,5,"4","4","Zone",2,"Zone","2 Zone","4 2 5","DAL",0.393,0.349,0.309,0.368,"P",0.317337201817463,3,5,70,"(8:18) (No Huddle, Shotgun) D.Prescott scrambles right end to DAL 43 for 13 yards (M.Epps)."
4950661,59072,1,"07:45","PHI",10,"DAL",0,2,4,-1,-1,NA,0,0,NA,4950654,NA,20,NA,NA,NA,1,0,"DAL 20","","TOUCHDOWN","KICKOFF - TB","","R","","","","","","","C","O","","","","","LT","LT","L","","R","","",14,0,"",NA,4950666,3,3,"11","11","Shotgun","DUO","DUO",1,0,0,5,NA,"3","Zone",1,"Zone Pressure","1 Zone Pressure","4 2 5","DAL",0.442,0.354,0.316,0.368,"R",2.28343005349149,1,10,57,"(7:45) (Shotgun) T.Pollard up the middle to DAL 42 for -1 yards (A.Maddox)."
4950666,59072,1,"07:11","PHI",10,"DAL",0,2,5,6,6,NA,0,0,NA,4950661,NA,21,NA,1.6,1,0,0,"DAL 86","","TOUCHDOWN","KICKOFF - TB","SD","R","","","","","","","O","O","COMPLETE","3R","17","5","","","","","P","","",11,0,"",NA,4950674,3,3,"11","00","Empty","","QUICK GAME",1,0,0,5,"4","6","Zone",2,"Zone","2 Zone","4 2 5","DAL",0.418,0.351,0.313,0.361,"P",1.47064003917861,2,11,58,"(7:11) (Shotgun) D.Prescott pass short left to D.Schultz to DAL 48 for 6 yards (T.Edwards)."
4950674,59072,1,"06:38","PHI",10,"DAL",0,2,6,8,8,NA,0,0,NA,4950666,NA,22,2.7,5,4,1,0,"DAL 13","DAL 13; DAL 85; DAL 88","TOUCHDOWN","KICKOFF - TB","SD","L","","","","","","","C","O","COMPLETE","SA","9","4","","","","","P","","",13,0,"",1,4950684,3,3,"11","10","Shotgun","","STANDARD DROP",0,1,0,5,"5+","3","Zone",1,"Zone Pressure","1 Zone Pressure","4 2 5","DAL",0.42,0.352,0.315,0.387,"P",1.5717355705019,3,5,52,"(6:38) (Shotgun) D.Prescott pass short left to M.Gallup to PHI 44 for 8 yards (H.Reddick) [A.Maddox]."
4950684,59072,1,"05:57","PHI",10,"DAL",0,2,7,9,9,NA,0,0,NA,4950674,NA,23,NA,2.8,15,5,0,"DAL 20","","TOUCHDOWN","KICKOFF - TB","SD","L","","PHI 93","","","","","O","O","COMPLETE","H3","9","-6","","","R","","P","","",9,0,"",NA,4950689,3,3,"12","21","UC","OUTSIDE ZONE","RB SCREEN",1,0,0,4,"5+","2Z","Zone",2,"Zone Pressure","2 Zone Pressure","5 2 4","DAL",0.46,0.351,0.319,0.375,"P",2.89572113430796,1,10,44,"(5:57) D.Prescott pass short left to T.Pollard pushed ob at PHI 35 for 9 yards (K.White). PHI-M.Williams was injured during the play. His return is Questionable."
4950689,59072,1,"05:40","PHI",10,"DAL",0,2,8,3,3,NA,0,0,NA,4950684,NA,24,NA,NA,NA,3,0,"DAL 21","DAL 13; DAL 85","TOUCHDOWN","KICKOFF - TB","","L","","","","","","","C","C","","","","","LT","LT","L","","R","","",32,0,"",1,4950699,3,3,"11","11","Shotgun","PIN PULL","PIN PULL",1,0,0,5,NA,"3","Zone",1,"Zone Pressure","1 Zone Pressure","5 1 5","DAL",0.501,0.349,0.367,0.446,"R",4.101536596571,2,1,35,"(5:40) (Shotgun) E.Elliott left tackle to PHI 32 for 3 yards (T.Edwards; J.Davis)."
4950699,59072,1,"05:06","PHI",10,"DAL",0,2,9,1,1,NA,0,0,NA,4950689,NA,25,NA,NA,NA,2,0,"DAL 21","","TOUCHDOWN","KICKOFF - TB","","L","","","","","","","O","O","","","","","RE","RE","L","","R","","",14,0,"",NA,4950707,3,3,"11","11","Shotgun","INSIDE ZONE","INSIDE ZONE",1,0,0,5,NA,"4","Zone",2,"Zone","2 Zone","5 1 5","DAL",0.481,0.345,0.379,0.384,"R",3.93889904179383,1,10,32,"(5:06) (Shotgun) E.Elliott up the middle to PHI 31 for 1 yard (N.Suh)."
4950707,59072,1,"04:30","PHI",10,"DAL",0,2,10,10,10,NA,0,0,NA,4950699,NA,26,3,6.7,NA,2,0,"DAL 04","","TOUCHDOWN","KICKOFF - TB","SR","L","","","","","","","O","O","RUN","","","0","QB SCRAMBLE","QB SCRAMBLE","","","P","","",9,0,"",1,4950712,3,3,"11","11","Shotgun","","STANDARD DROP",1,0,0,5,"4","4","Zone",2,"Zone","2 Zone","5 1 5","DAL",0.464,0,0.379,0.389,"P",3.51523261207989,2,9,31,"(4:30) (Shotgun) D.Prescott scrambles right end to PHI 21 for 10 yards (P.Johnson)."
4950712,59072,1,"03:48","PHI",10,"DAL",0,2,11,3,3,NA,0,0,NA,4950707,NA,27,NA,NA,NA,3,0,"DAL 21","","TOUCHDOWN","KICKOFF - TB","","R","","","","","","","O","C","","","","","MR","MR","R","","R","","",9,0,"",NA,4950719,3,3,"13","13","UC","OUTSIDE ZONE","OUTSIDE ZONE",1,0,0,4,NA,"6","Zone",2,"Zone","2 Zone","5 2 4","DAL",0.498,0,0.391,0.39,"R",4.52316000306223,1,10,21,"(3:48) E.Elliott right tackle to PHI 18 for 3 yards (B.Graham)."
4950719,59072,1,"03:11","PHI",10,"DAL",0,2,12,9,9,NA,0,0,NA,4950712,NA,28,NA,2.7,8,6,0,"DAL 20","","TOUCHDOWN","KICKOFF - TB","SD","R","","","","","","","O","O","COMPLETE","H5","18","1","","","","","P","","",9,0,"",1,4950725,3,3,"11","11","Shotgun","","STANDARD DROP",0,0,1,5,"4","4","Zone",2,"Zone","2 Zone","4 2 5","DAL",0.49,0,0.392,0.406,"P",4.42955280825797,2,7,18,"(3:11) (Shotgun) D.Prescott pass short left to T.Pollard to PHI 9 for 9 yards (R.Blankenship)."
4950725,59072,1,"02:34","PHI",10,"DAL",0,2,13,8,8,NA,0,0,NA,4950719,NA,29,NA,NA,NA,1,0,"DAL 20","DAL 13; DAL 85","TOUCHDOWN","KICKOFF - TB","","L","","","","","","","O","C","","","","","LT","LT","L","","R","","",12,0,"",NA,4950730,3,3,"11","11","UC","CROSS LEAD","CROSS LEAD",0,0,1,5,NA,"RedZone","Other",NA,"Other","Other","4 2 5","DAL",0.52,0,0.396,0.363,"R",5.30620591146916,1,9,9,"(2:34) T.Pollard up the middle to PHI 1 for 8 yards (M.Epps, R.Blankenship)."
4950730,59072,1,"01:54","PHI",10,"DAL",0,2,14,1,1,NA,0,0,NA,4950725,NA,30,NA,NA,NA,0,0,"DAL 21","","TOUCHDOWN","KICKOFF - TB","","L","","","","","","","O","O","","","","","LE","LE","L","","R","","DAL 21",7,0,"",1,4950734,3,3,"14T","23","UC","ISO","ISO",0,0,1,2,NA,"GoalLine","Other",NA,"Other","Other","6 3 2","DAL",0.557,0,0.394,0.47,"R",6.08935445003649,2,1,1,"(1:54) E.Elliott left tackle for 1 yard, TOUCHDOWN."
4950734,59072,1,"01:52","PHI",10,"DAL",6,NA,NA,0,NA,NA,0,0,NA,4950730,NA,31,NA,NA,NA,NA,0,"","","","","","L","","","","DAL 19","MADE - IL","","","","","","","","","","","","","EXTRA POINT","",NA,0,"",NA,4950737,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.51474,0,0.562,0.646,"Extra Point",0.936890574214518,0,0,15,"B.Maher extra point is GOOD, Center-M.Overton, Holder-B.Anger."
4950737,59072,1,"01:52","DAL",7,"PHI",10,NA,NA,40,75,75,0,0,NA,4950734,NA,32,NA,NA,NA,NA,0,"","","","","","C","","","73","DAL 19","TOUCHBACK","19","","","","","","","","","","PHI 35","","KICKOFF","",NA,0,"",NA,4950742,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.516,0.518,0.454,0.583,"Kickoff",1.02787229920246,0,0,65,"B.Maher kicks 65 yards from DAL 35 to end zone, Touchback."
4950742,59072,1,"01:52","DAL",7,"PHI",10,2,1,7,7,NA,0,0,NA,4950737,NA,33,NA,NA,NA,7,0,"PHI 26","","INTERCEPTION","KICKOFF - TB","","R","","","","","","","C","C","","","","","ML","ML","L","","R","","",9,0,"",NA,4950748,3,3,"12","12","Shotgun","INSIDE ZONE READ","INSIDE ZONE READ",1,0,0,5,NA,"1","Man",1,"Man Pressure","Man Pressure","3 3 5","DAL",0.516,0.575,0.66,0.602,"R",0.977105090910883,1,10,75,"(1:52) (Shotgun) M.Sanders up the middle to PHI 32 for 7 yards (D.Clark)."
4950748,59072,1,"01:12","DAL",7,"PHI",10,2,2,13,13,NA,0,0,NA,4950742,NA,34,NA,NA,NA,15,0,"PHI 26","","INTERCEPTION","KICKOFF - TB","","L","","","","","","","C","C","","","","","RE","RE","R","","R","","",6,0,"",1,4950753,3,3,"12","12","Shotgun","COUNTER","COUNTER",1,0,0,5,NA,"1","Man",1,"Man Pressure","Man Pressure","3 3 5","DAL",0.501,0.564,0.648,0.565,"R",1.49379055022634,2,3,68,"(1:12) (Shotgun) M.Sanders right end to PHI 45 for 13 yards (T.Diggs)."
4950753,59072,1,"00:31","DAL",7,"PHI",10,2,3,-2,-2,NA,0,0,NA,4950748,NA,35,NA,NA,NA,1,0,"PHI 26","","INTERCEPTION","KICKOFF - TB","","R","","","","","","","C","C","","","","","LG","LG","L","","R","","",8,0,"",NA,4950759,3,3,"12","12","Pistol","OUTSIDE ZONE","OUTSIDE ZONE",1,0,0,5,NA,"3","Zone",1,"Zone","1 Zone","3 3 5","DAL",0.485,0.547,0.626,0.568,"R",2.42794319803527,1,10,55,"(:31) (Shotgun) M.Sanders left tackle to PHI 43 for -2 yards (D.Wilson)."
4950759,59072,2,"15:00","DAL",7,"PHI",10,2,4,0,NA,NA,0,0,NA,4950753,NA,36,NA,2.4,NA,NA,0,"","PHI 11; PHI 26","INTERCEPTION","KICKOFF - TB","SD","L","CC","","","","","","O","C","INTERCEPTION","6R","27","6","","","","","P","","",11,0,"1; DAL 27",NA,4950766,3,3,"11","00","Empty","","STANDARD DROP",1,0,0,5,"4 Sim","2Z","Zone",2,"Zone Simulated","2 Zone Simulated","3 3 5","DAL",0.509,0.548,0.629,0.578,"P",1.10396403113472,2,12,57,"(15:00) (Shotgun) G.Minshew pass short middle intended for Q.Watkins INTERCEPTED by J.Kearse at PHI 49. J.Kearse to PHI 47 for 2 yards (Q.Watkins)."
4950766,59072,2,"14:52","PHI",10,"DAL",7,3,1,-10,-10,NA,0,0,NA,4950759,NA,37,3.8,4.1,NA,NA,0,"DAL 04","DAL 09; DAL 13","TOUCHDOWN","INTERCEPTION","FF","C","","","","","","","C","C","SACK","","","0","","","R","","P","","",13,0,"",NA,4950773,3,3,"02","11","UC","OUTSIDE ZONE","PLAY ACTION",1,0,0,5,"4","3","Zone",1,"Zone","1 Zone","4 2 5","DAL",0.61,0.526,0.471,0.529,"P",2.87574725450015,1,10,47,"(14:52) D.Prescott sacked at DAL 43 for -10 yards (A.Maddox)."
4950773,59072,2,"14:13","PHI",10,"DAL",7,3,2,5,5,NA,0,0,NA,4950766,NA,38,2,2.6,1,0,0,"DAL 88","","TOUCHDOWN","INTERCEPTION","SD","L","","","","","","","O","O","COMPLETE","6R","9","4","","","","","P","","",9,0,"",NA,4950780,3,3,"11","00","Empty","","STANDARD DROP",1,0,0,5,"4","6","Zone",2,"Zone","2 Zone","4 2 5","DAL",0.559,0.519,0.455,0.48,"P",1.01137669176786,2,20,57,"(14:13) (Shotgun) D.Prescott pass short left to C.Lamb to DAL 48 for 5 yards (D.Slay)."
4950780,59072,2,"13:37","PHI",10,"DAL",7,3,3,7,7,NA,0,0,NA,4950773,NA,39,NA,1.7,2,1,0,"DAL 88","","TOUCHDOWN","INTERCEPTION","SD","L","","","","","","","C","O","COMPLETE","6R","10","5","","","","","P","","",10,0,"",NA,4950785,3,3,"10","00","Empty","","QUICK GAME",0,1,0,5,"4","3","Zone",1,"Zone","1 Zone","4 2 5","DAL",0.549,0.521,0.459,0.497,"P",0.418076696824486,3,15,52,"(13:37) (Shotgun) D.Prescott pass short left to C.Lamb to PHI 45 for 7 yards (T.Edwards)."
4950785,59072,2,"12:58","PHI",10,"DAL",7,3,4,5,NA,NA,0,1,5,4950780,NA,40,3.2,3.5,NA,NA,0,"","","TOUCHDOWN","INTERCEPTION","SD","L","PE","","","","","","O","O","INCOMPLETE","3R","52","17","","","L:R","","P","","",8,0,"",1,4950792,3,3,"11","20","Shotgun","","STANDARD DROP",0,1,0,5,"4","4","Zone",2,"Zone","2 Zone","4 2 5","DAL",0.534,0.522,0.467,0.534,"P",0.0111100038821115,4,8,45,"(12:58) (Shotgun) D.Prescott pass incomplete short right to T.Hilton.
PENALTY on PHI-D.Slay, Illegal Contact, 5 yards, enforced at PHI 45 - No Play."
4950792,59072,2,"12:52","PHI",10,"DAL",7,3,5,-4,-4,NA,0,0,NA,4950785,NA,41,NA,NA,NA,1,0,"DAL 20","","TOUCHDOWN","INTERCEPTION","","L","","","","","","","O","C","","","","","LE","LE","L","","R","","",11,0,"",NA,4950797,3,3,"12","12","UC","OUTSIDE ZONE","OUTSIDE ZONE",1,0,0,4,NA,"4","Zone",2,"Zone","2 Zone","5 2 4","DAL",0.619,0.523,0.49,0.534,"R",3.30884867787939,1,10,40,"(12:52) T.Pollard left tackle to PHI 44 for -4 yards (M.Williams)."
4950797,59072,2,"12:14","PHI",10,"DAL",7,3,6,8,8,NA,0,0,NA,4950792,NA,42,3,4.4,0,0,0,"DAL 13","DAL 85; DAL 86","TOUCHDOWN","INTERCEPTION","SR","L","","","","","","","O","O","COMPLETE","5R","52","8","","","R","","P","","",8,0,"",NA,4950801,3,3,"11","10","Shotgun","","STANDARD DROP",1,0,0,5,"4","4","Zone",2,"Zone","2 Zone","4 2 5","DAL",0.586,0.521,0.467,0.507,"P",2.07272267552773,2,14,44,"(12:14) (Shotgun) D.Prescott pass short right to M.Gallup ran ob at PHI 36 for 8 yards."
4950801,59072,2,"11:41","PHI",10,"DAL",7,3,7,36,36,NA,0,0,NA,4950797,NA,43,NA,2.6,6,6,0,"DAL 88","DAL 85; DAL 86; DAL 88","TOUCHDOWN","INTERCEPTION","SD","R","","","","","","","C","O","COMPLETE","7R","6","30","","","R","","P","","DAL 88",9,0,"",1,4950805,3,3,"11","10","Shotgun","","STANDARD DROP",0,1,0,5,"4","3","Zone",1,"Zone","1 Zone","4 2 5","DAL",0.591,0.518,0.535,0.552,"P",1.98732321571952,3,6,36,"(11:41) (Shotgun) D.Prescott pass deep left to C.Lamb for 36 yards, TOUCHDOWN."
4950805,59072,2,"11:34","PHI",10,"DAL",13,NA,NA,0,NA,NA,0,0,NA,4950801,NA,44,NA,NA,NA,NA,0,"","","","","","L","","","","DAL 19","MADE - M","","","","","","","","","","","","","EXTRA POINT","",NA,0,"",NA,4950809,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",0.71686,0,0.756,0.805,"Extra Point",0.936890574214518,0,0,15,"B.Maher extra point is GOOD, Center-M.Overton, Holder-B.Anger."
